STUDYID	DOMAIN	SPDEVID	DISEQ	DIPARMCD	DIPARM	DIVAL
E-MTAB-331	DI	ASCA Screen ELISA	1	TYPE	Device Type	ELISA Assay Kit
E-MTAB-331	DI	ASCA Screen ELISA	2	MANUF	Manufacturer	IBL International
GSE32148	DI	GPL13534	1	TYPE	Device Type	Array
GSE32148	DI	GPL13534	2	MANUF	Manufacturer	Illumina
GSE32148	DI	GPL13534	3	MODEL	Model	HumanMethylation450 BeadChip
GSE1710	DI	GPL284	1	TYPE	Device Type	Array
GSE1710	DI	GPL284	2	MANUF	Manufacturer	RZPD
GSE1710	DI	GPL284	3	MODEL	Model	Human UniGene Set RZPD 1
E-MEXP-1225	DI	GPL570	1	TYPE	Device Type	Array
E-MEXP-2083	DI	GPL570	2	TYPE	Device Type	Array
E-TABM-118	DI	GPL570	3	TYPE	Device Type	Array
GSE10616	DI	GPL570	4	TYPE	Device Type	Array
GSE10714	DI	GPL570	5	TYPE	Device Type	Array
GSE11499	DI	GPL570	6	TYPE	Device Type	Array
GSE16879	DI	GPL570	7	TYPE	Device Type	Array
GSE4183	DI	GPL570	8	TYPE	Device Type	Array
E-MEXP-1225	DI	GPL570	9	MANUF	Manufacturer	Affymetrix
E-MEXP-2083	DI	GPL570	10	MANUF	Manufacturer	Affymetrix
E-TABM-118	DI	GPL570	11	MANUF	Manufacturer	Affymetrix
GSE10616	DI	GPL570	12	MANUF	Manufacturer	Affymetrix
GSE10714	DI	GPL570	13	MANUF	Manufacturer	Affymetrix
GSE11499	DI	GPL570	14	MANUF	Manufacturer	Affymetrix
GSE16879	DI	GPL570	15	MANUF	Manufacturer	Affymetrix
GSE4183	DI	GPL570	16	MANUF	Manufacturer	Affymetrix
E-MEXP-1225	DI	GPL570	17	MODEL	Model	Human Genome U133 Plus 2.0 Array
E-MEXP-2083	DI	GPL570	18	MODEL	Model	Human Genome U133 Plus 2.0 Array
E-TABM-118	DI	GPL570	19	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE10616	DI	GPL570	20	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE10714	DI	GPL570	21	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE11499	DI	GPL570	22	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE16879	DI	GPL570	23	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE4183	DI	GPL570	24	MODEL	Model	Human Genome U133 Plus 2.0 Array
E-MTAB-331	DI	GPL6244	1	TYPE	Device Type	Array
E-MTAB-331	DI	GPL6244	2	MANUF	Manufacturer	Affymetrix
E-MTAB-331	DI	GPL6244	3	MODEL	Model	Human Gene 1.0 ST Array
GSE6731	DI	GPL8300	1	TYPE	Device Type	Array
GSE6731	DI	GPL8300	2	MANUF	Manufacturer	Affymetrix
GSE6731	DI	GPL8300	3	MODEL	Model	Human Genome U95 Av2 Array
GSE3365	DI	GPL96	1	TYPE	Device Type	Array
GSE3365	DI	GPL96	2	MANUF	Manufacturer	Affymetrix
GSE3365	DI	GPL96	3	MODEL	Model	Human Genome U133A
