STUDYID	DOMAIN	SPDEVID	DISEQ	DIPARMCD	DIPARM	DIVAL
GSE37283	DI	GPL13158	1	TYPE	Device Type	Array
GSE37283	DI	GPL13158	2	MANUF	Manufacturer	Affymetrix
GSE37283	DI	GPL13158	3	MODEL	Model	GeneChip HT HG-U133+ PM Array Plate
GSE32148	DI	GPL13534	1	TYPE	Device Type	Array
GSE32148	DI	GPL13534	2	MANUF	Manufacturer	Illumina
GSE32148	DI	GPL13534	3	MODEL	Model	HumanMethylation450 BeadChip
GSE1710	DI	GPL284	1	TYPE	Device Type	Array
GSE1710	DI	GPL284	2	MANUF	Manufacturer	RZPD
GSE1710	DI	GPL284	3	MODEL	Model	Human UniGene Set RZPD 1
E-MEXP-2083	DI	GPL570	1	TYPE	Device Type	Array
GSE10616	DI	GPL570	2	TYPE	Device Type	Array
GSE10714	DI	GPL570	3	TYPE	Device Type	Array
GSE11499	DI	GPL570	4	TYPE	Device Type	Array
GSE13367	DI	GPL570	5	TYPE	Device Type	Array
GSE16879	DI	GPL570	6	TYPE	Device Type	Array
GSE22619	DI	GPL570	7	TYPE	Device Type	Array
GSE23597	DI	GPL570	8	TYPE	Device Type	Array
GSE3629	DI	GPL570	9	TYPE	Device Type	Array
GSE4183	DI	GPL570	10	TYPE	Device Type	Array
GSE9452	DI	GPL570	11	TYPE	Device Type	Array
E-MEXP-2083	DI	GPL570	12	MANUF	Manufacturer	Affymetrix
GSE10616	DI	GPL570	13	MANUF	Manufacturer	Affymetrix
GSE10714	DI	GPL570	14	MANUF	Manufacturer	Affymetrix
GSE11499	DI	GPL570	15	MANUF	Manufacturer	Affymetrix
GSE13367	DI	GPL570	16	MANUF	Manufacturer	Affymetrix
GSE16879	DI	GPL570	17	MANUF	Manufacturer	Affymetrix
GSE22619	DI	GPL570	18	MANUF	Manufacturer	Affymetrix
GSE23597	DI	GPL570	19	MANUF	Manufacturer	Affymetrix
GSE3629	DI	GPL570	20	MANUF	Manufacturer	Affymetrix
GSE4183	DI	GPL570	21	MANUF	Manufacturer	Affymetrix
GSE9452	DI	GPL570	22	MANUF	Manufacturer	Affymetrix
E-MEXP-2083	DI	GPL570	23	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE10616	DI	GPL570	24	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE10714	DI	GPL570	25	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE11499	DI	GPL570	26	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE13367	DI	GPL570	27	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE16879	DI	GPL570	28	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE22619	DI	GPL570	29	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE23597	DI	GPL570	30	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE3629	DI	GPL570	31	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE4183	DI	GPL570	32	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE9452	DI	GPL570	33	MODEL	Model	Human Genome U133 Plus 2.0 Array
GSE21231	DI	GPL6244	1	TYPE	Device Type	Array
E-MTAB-331	DI	GPL6244	2	TYPE	Device Type	Array
GSE21231	DI	GPL6244	3	MANUF	Manufacturer	Affymetrix
E-MTAB-331	DI	GPL6244	4	MANUF	Manufacturer	Affymetrix
GSE21231	DI	GPL6244	5	MODEL	Model	Human Gene 1.0 ST Array
E-MTAB-331	DI	GPL6244	6	MODEL	Model	Human Gene 1.0 ST Array
E-MTAB-184	DI	GPL6947	1	TYPE	Device Type	Array
E-MTAB-184	DI	GPL6947	2	MANUF	Manufacturer	Illumina
E-MTAB-184	DI	GPL6947	3	MODEL	Model	HumanHT-12 v3 Expression BeadChip
GSE6731	DI	GPL8300	1	TYPE	Device Type	Array
GSE6731	DI	GPL8300	2	MANUF	Manufacturer	Affymetrix
GSE6731	DI	GPL8300	3	MODEL	Model	Human Genome U95 Av2 Array
GSE2461	DI	GPL96	1	TYPE	Device Type	Array
GSE3365	DI	GPL96	2	TYPE	Device Type	Array
GSE2461	DI	GPL96	3	MANUF	Manufacturer	Affymetrix
GSE3365	DI	GPL96	4	MANUF	Manufacturer	Affymetrix
GSE2461	DI	GPL96	5	MODEL	Model	Human Genome U133A
GSE3365	DI	GPL96	6	MODEL	Model	Human Genome U133A
