CO	DM	SE	SV	CM	EX	EC	PR	SU	AE	CE	DS	DV	HO	MH	DA	DD	EG	IE	IS	LB	MB	MS	MI	MO	PC	PP	PE	QS	RP	SC	SS	TU	TR	RS	VS	CC	FA	SR	TA	TE	TV	TD	TI	TS	BE	BS	PF	PG	PB	SB	DI	DU	DX	DE	DT	DR	DO	RELREC	AG	RELSUB	RE
STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID	STUDYID
DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	DOMAIN	RDOMAIN	DOMAIN	USUBJID	DOMAIN
RDOMAIN	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	USUBJID	VISITNUM	TDORDER	IETESTCD	TSSEQ	USUBJID	USUBJID	USUBJID	USUBJID	PBSEQ	USUBJID	SPDEVID	USUBJID	USUBJID	USUBJID	SPDEVID	USUBJID	SPDEVID	USUBJID	USUBJID	POOLID	USUBJID
USUBJID	SUBJID	SESEQ	SVSEQ	CMSEQ	EXSEQ	ECSEQ	PRSEQ	SUSEQ	AESEQ	CESEQ	DSSEQ	DVSEQ	HOSEQ	MHSEQ	DASEQ	DDSEQ	EGSEQ	IESEQ	ISSEQ	LBSEQ	MBSEQ	MSSEQ	MISEQ	MOSEQ	PCSEQ	PPSEQ	PESEQ	QSSEQ	RPSEQ	SCSEQ	SSSEQ	TUSEQ	TRSEQ	RSSEQ	VSSEQ	CCSEQ	FASEQ	SRSEQ	ARMCD	ETCD	VISIT	TDANCVAR	IETEST	TSGRPID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	PBMRKRID	SBSEQ	DISEQ	SPDEVID	SPDEVID	SPDEVID	DTSEQ	SPDEVID	DOSEQ	IDVAR	AGSEQ	RSUBJID	SPDEVID
COSEQ	RFSTDTC	SEGRPID	SVGRPID	CMGRPID	EXGRPID	ECGRPID	PRGRPID	SUGRPID	AEGRPID	CEGRPID	DSGRPID	DVREFID	HOGRPID	MHGRPID	DAGRPID	DDTESTCD	EGGRPID	IESPID	ISGRPID	LBGRPID	MBGRPID	MSGRPID	MIGRPID	MOGRPID	PCGRPID	PPGRPID	PEGRPID	QSGRPID	RPGRPID	SCGRPID	SSGRPID	TUGRPID	TRGRPID	RSGRPID	VSGRPID	CCGRPID	FAGRPID	SRGRPID	ARM	ELEMENT	VISITDY	TDSTOFF	IECAT	TSPARMCD	BESEQ	BSSEQ	PFSEQ	PGSEQ	PBMRKR	SBGRPID	DIPARMCD	DUSEQ	DXSEQ	DESEQ	DTTERM		DOGRPID	IDVARVAL	AGGRPID	SREL	RESEQ
POOLID	RFENDTC	SEREFID	SVREFID	CMSPID	EXREFID	ECREFID	PRSPID	SUSPID	AEREFID	CEREFID	DSREFID	DVSPID	HOREFID	MHREFID	DAREFID	DDTEST	EGREFID	IETESTCD	ISREFID	LBREFID	MBREFID	MSREFID	MIREFID	MOREFID	PCREFID	PPTESTCD	PESPID	QSSPID	RPREFID	SCSPID	SSSPID	TUREFID	TRREFID	RSREFID	VSSPID	CCREFID	FASPID	SRREFID	TAETORD	TESTDTC	ARMCD	TDTGTPAI	IESCAT	TSPARM	BEGRPID	BSGRPID	PFGRPID	PGGRPID	PBGENRI	SBREFID	DIPARM	DUGRPID	DXGRPID	DESPID	DTMODIFY		DOREFID	RELTYPE	AGSPID		REGRPID
IDVAR	RFXSTDTC	SESPID	VISITNUM	CMTRT	EXSPID	ECSPID	PRLNKID	SUTRT	AESPID	CESPID	DSSPID	DVTERM	HOSPID	MHSPID	DASPID	DDORRES	EGSPID	IETEST	ISSPID	LBSPID	MBSPID	MSSPID	MISPID	MOSPID	PCSPID	PPTEST	PETESTCD	QSTESTCD	RPSPID	SCTESTCD	SSTESTCD	TUSPID	TRSPID	RSSPID	VSTESTCD	CCSPID	FATESTCD	SRSPID	ETCD	TEENDTC	ARM	TDMINPAI	TIRL	TSVAL	BEREFID	BSREFID	PFREFID	PGREFID	PBGENTYP	SBMRKRID	DIVAL	DUREFID	DXSPID	DETERM	DTDECOD		DOSPID	RELID	AGTRT		REREFID
IDVARVAL	RFXENDTC	ETCD	VISIT	CMMODIFY	EXLNKID	ECLNKID	PRLNKGRP	SUMODIFY	AETERM	CETERM	DSTERM	DVDECOD	HOTERM	MHTERM	DATESTCD	DDSTRESC	EGTESTCD	IECAT	ISTESTCD	LBTESTCD	MBTESTCD	MSTESTCD	MITESTCD	MOLNKID	PCTESTCD	PPCAT	PETEST	QSTEST	RPTESTCD	SCTEST	SSTEST	TULNKID	TRLNKID	RSLNKID	VSTEST	CCLNKID	FATEST	SRTESTCD	ELEMENT	EPOCH	TVSTRL	TDMAXPAI	TIVERS	TSVALNF	BESPID	BSSPID	PFSPID	PGSPID	PBNSPCES	SBGENRI		DUSPID	DXTRT	DEMODIFY	DTPARTY		DOTESTCD		AGMODIFY		RESPID
COREF	RFICDTC	ELEMENT	VISITDY	CMDECOD	EXLNKGRP	ECLNKGRP	PRTRT	SUDECOD	AEMODIFY	CEDECOD	DSDECOD	DVCAT	HODECOD	MHMODIFY	DATEST	DDRESCAT	EGTEST	IESCAT	ISTEST	LBTEST	MBTEST	MSTEST	MITEST	MOTESTCD	PCTEST	PPSCAT	PEMODIFY	QSCAT	RPTEST	SCCAT	SSCAT	TUTESTCD	TRLNKGRP	RSLNKGRP	VSCAT	CCLNKGRP	FAOBJ	SRTEST	TASTDTC	TESTRL	TVENRL	TDNUMRPT		TSVALCD	BELNKID	BSTESTCD	PFLNKID	PGLNKID	PBNSTRN	SBGENTYP		DUTESTCD	DXCAT	DEDECOD	DTPRTYID		DOTEST		AGDECOD		RETESTCD
COVAL	RFPENDTC	SESTDTC	SVSTDTC	CMCAT	EXTRT	ECTRT	PRDECOD	SUCAT	AELLT	CECAT	DSCAT	DVSCAT	HOCAT	MHDECOD	DACAT	DDEVAL	EGCAT	IEORRES	ISCAT	LBCAT	MBCAT	MSCAT	MITSTDTL	MOTEST	PCCAT	PPORRES	PECAT	QSSCAT	RPCAT	SCSCAT	SSSCAT	TUTEST	TRTESTCD	RSTESTCD	VSSCAT	CCTESTCD	FACAT	SROBJ	TAENDTC	TEENRL				TSVCDREF	BETERM	BSTEST	PFTESTCD	PGTESTCD	PBDRUG	SBNSPCES		DUTEST	DXSCAT	DECAT	DTCAT		DOCAT		AGCAT		RETEST
