original attribute	Domain	Mapping function
patientBarCode		USUBJID;
StudyID		STUDYID;
sourceSampleID_1	BE	Rename:BEREFID;Insert:BETERM,Val=Assayed;Insert:BEDECOD,Val=ASSAYED;Insert:BECAT,Val=ASSAY;
condition_1	MH	Rename:MHTERM;Insert:MHOCCUR,Val=Y;Insert:MHDY,Val=1;
NumberOfPackYearsSmoked	SU	Rename:SUDOSE;RelTo:smoking_SUTRT;
fibrostenotic_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=FIBROSIS;Insert:MHDY,Val=1;
montA	SUPPMH	Rename:QVAL;Insert:RDOMAIN,Val=MH;Insert:IDVAR,Val=MHSEQ;Insert:QNAM,Val=MONTA;Insert:QLABEL,Val=Montreal Age Classification;Insert:QORIG,Val=DERIVED;RelTo:condition_1;
montL	SUPPMH	Rename:QVAL;Insert:RDOMAIN,Val=MH;Insert:IDVAR,Val=MHSEQ;Insert:QNAM,Val=MONTL;Insert:QLABEL,Val=Montreal Location Classification;Insert:QORIG,Val=DERIVED;RelTo:condition_1;
montE	SUPPMH	Rename:QVAL;Insert:RDOMAIN,Val=MH;Insert:IDVAR,Val=MHSEQ;Insert:QNAM,Val=MONTE;Insert:QLABEL,Val=Montreal Extent Classification;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:condition_1;
Periappinflamm_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=PERIAPPENDICEAL INFLAMMATION;Insert:MHDY,Val=1;
cai	CC	Rename:CCORRES;Insert:CCTESTCD,Val=CAI;Insert:CCTEST,Val=CAI-Clinical Activity Index;Insert:CCCAT,Val=CLINICAL ACTIVITY INDEX;Insert:CCDY,Val=1;
aias	SUPPBE	Rename:QVAL;Insert:RDOMAIN,Val=BE;Insert:IDVAR,Val=BESEQ;Insert:QNAM,Val=AIAS;Insert:QLABEL,Val=Acute Inflammatory Activity Score;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:sampleID_NoParent;
chronScore	SUPPBE	Rename:QVAL;Insert:RDOMAIN,Val=BE;Insert:IDVAR,Val=BESEQ;Insert:QNAM,Val=CHRONSCR;Insert:QLABEL,Val=Chronicity Score;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:sampleID_NoParent;
activeIBD_1	SUPPBE	Rename:QVAL;Insert:RDOMAIN,Val=BE;Insert:IDVAR,Val=BESEQ;Insert:QNAM,Val=UCSTATUS;Insert:QLABEL,Val=Ulcerative Colitis Status;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:sampleID_NoParent;
overallInf_1	SUPPBE	Rename:QVAL;Insert:RDOMAIN,Val=BE;Insert:IDVAR,Val=BESEQ;Insert:QNAM,Val=INFLAMM;Insert:QLABEL,Val=Inflammation Status;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:sampleID_NoParent;
race_1	DM	Rename:RACE;
ethnicity_1	DM	Rename:ETHNIC;
j_large_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=PAUCIARTICULAR JOINT INVOLVEMENT;Insert:MHDECOD,Val=Oligoarticular Joint Involvement;Insert:MHDY,Val=1;
j_small_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=POLYARTICULAR JOINT INVOLVEMENT;Insert:MHDY,Val=1;
j_as_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=ANKYLOSING SPONDYLITIS;Insert:MHDY,Val=1;
j_si_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=SACROILIITIS;Insert:MHDY,Val=1;
j_nonsp_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=NON-SPECIFIC JOINT INFLAMMATION;Insert:MHDY,Val=1;
skin_en_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=ERYTHEMA NODOSUM;Insert:MHDY,Val=1;
skin_py_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=PYODERMA;Insert:MHDY,Val=1;
eye_uv_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=UVEITIS;Insert:MHDY,Val=1;
eye_ep_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=EPISCLERITIS;Insert:MHDY,Val=1;
eye_uoi_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=UNDIAGNOSED OCULAR INFLAMMATION;Insert:MHDY,Val=1;
PrimarySC_1	MH	Rename:MHOCCUR;Insert:MHTERM,Val=PRIMARY SCLEROSING CHOLANGITIS;Insert:MHDY,Val=1;
prevSurgery_1	PR	Rename:PROCCUR;Insert:PRTRT,Val=SURGERY;Insert:PRSTRTPT,Val=BEFORE;Insert:PRSTTPT,Val=START OF STUDY;
3dpucai	CC	Rename:CCORRES;Insert:CCTESTCD,Val=PUCAI;Insert:CCTEST,Val=Pediatric Ulcerative Colitis Activity;Insert:CCCAT,Val=PEDIATRIC ULCERATIVE COLITIS ACTIVITY INDEX;Insert:CCDY,Val=3;
5dpucai	CC	Rename:CCORRES;Insert:CCTESTCD,Val=PUCAI;Insert:CCTEST,Val=Pediatric Ulcerative Colitis Activity;Insert:CCCAT,Val=PEDIATRIC ULCERATIVE COLITIS ACTIVITY INDEX;Insert:CCDY,Val=5;
inflix8wk_1	RS	Rename:RSORRES;Insert:RSTESTCD,Val=THERRESP;Insert:RSTEST,Val=Therapy Response;Insert:RSDY,Val=57;
inflix30wk_1	RS	Rename:RSORRES;Insert:RSTESTCD,Val=THERRESP;Insert:RSTEST,Val=Therapy Response;Insert:RSDY,Val=211;
diseaseDuration_1	MH	Rename:MHDUR;RelTo:condition_1;
smoking_1	SU	Rename:SUOCCUR;Insert:SUCAT,Val=TOBACCO;RelTo:smoking_SUTRT;
smoking_SUTRT	SU	Rename:SUTRT;
smoking_SUSTTPT	SU	Rename:SUSTTPT;RelTo:smoking_SUTRT;
smoking_SUSTRTPT	SU	Rename:SUSTRTPT;RelTo:smoking_SUTRT;
smoking_SUENTPT	SU	Rename:SUENTPT;RelTo:smoking_SUTRT;
smoking_SUENRTPT	SU	Rename:SUENRTPT;RelTo:smoking_SUTRT;
SUDOSU	SU	RelTo:smoking_SUTRT;
IE_IC	IE	Rename:IEORRES;Insert:IETESTCD,Val=INCL01;Insert:IETEST,Val=Individual has ulcerative colitis with either left-sided or extensive disease;Insert:IECAT,Val=INCLUSION;Insert:IESTRESC,Val=N;
IE_Race	IE	Rename:IEORRES;Insert:IETESTCD,Val=INCL02;Insert:IETEST,Val=Individual is white, non-Hispanic of European ancestry;Insert:IECAT,Val=INCLUSION;Insert:IESTRESC,Val=N;
RACE_supp	SUPPDM	Rename:QVAL;Insert:RDOMAIN,Val=DM;Insert:IDVAR,Val=;Insert:QNAM,Val=RACEOTH;Insert:QLABEL,Val=Race, Other;Insert:QORIG,Val=PUBLIC SOURCE;
SurgicalProcedure_UC_1	PR	Rename:PRTRT;Insert:PROCCUR,Val=Y;
Appendectomy_1	PR	Rename:PROCCUR;Insert:PRTRT,Val=APPENDECTOMY;
App_timing_1	PR	Rename:PRSTRTPT;Insert:PRSTTPT,Val=DIAGNOSIS;RelTo:Appendectomy_1;
inflix8wk_STRESC	RS	Rename:RSSTRESC;RelTo:inflix8wk_1;
inflix30wk_STRESC	RS	Rename:RSSTRESC;RelTo:inflix30wk_1;
condition_SUPPDM	SUPPDM	Rename:QVAL;Insert:RDOMAIN,Val=DM;Insert:IDVAR,Val=;Insert:QNAM,Val=COND;Insert:QLABEL,Val=Condition;Insert:QORIG,Val=PUBLIC SOURCE;
age_1	DM	Rename:AGE;
gender_1	DM	Rename:SEX;
cai_STRESC	CC	Rename:CCSTRESC;RelTo:cai;
cai_STRESN	CC	Rename:CCSTRESN;RelTo:cai;
IBDcancer_dysGSE3629	MH	Rename:MHOCCUR;Insert:MHTERM,Val=ULCERATIVE COLITIS WITH CANCER AND/OR DYSPLASIA;Insert:MHLOC,Val=LARGE INTESTINE;Insert:MHDY,Val=1;
IBDcancer_dysGSE37283	MH	Rename:MHOCCUR;Insert:MHTERM,Val=ULCERATIVE COLITIS WITH REMOTE NEOPLASIA;Insert:MHLOC,Val=COLON OR RECTUM;Insert:MHDY,Val=1;
IBDcancer_dysphs000345	MH	Rename:MHOCCUR;Insert:MHTERM,Val=ULCERATIVE COLITIS WITH DYSPLASIA/CANCER;Insert:MHLOC,Val=COLON OR RECTUM;Insert:MHDY,Val=1;
histoSymptoms_1	MI	Rename:MIORRES;Insert:MITESTCD,Val=MIEXAM;Insert:MITEST,Val=Microscopic Examination;Insert:MIDY,Val=1;
histoSymptoms_1_STRESC	MI	Rename:MISTRESC;RelTo:histoSymptoms_1;
histoSymptoms_2	MI	Rename:MIORRES;Insert:MITESTCD,Val=MIEXAM;Insert:MITEST,Val=Microscopic Examination;Insert:MIDY,Val=1;
histoSymptoms_2_STRESC	MI	Rename:MISTRESC;RelTo:histoSymptoms_2;
histoSymptoms_3	MI	Rename:MIORRES;Insert:MITESTCD,Val=MIEXAM;Insert:MITEST,Val=Microscopic Examination;Insert:MIDY,Val=1;
histoSymptoms_3_STRESC	MI	Rename:MISTRESC;RelTo:histoSymptoms_3;
ethnicity_orig	SUPPDM	Rename:QVAL;Insert:RDOMAIN,Val=DM;Insert:IDVAR,Val=;Insert:QNAM,Val=ETHNICOR;Insert:QLABEL,Val=Original Ethnicity;Insert:QORIG,Val=PUBLIC SOURCE;
DY_DM	DM	Rename:DMDY;
DY_BE	BE	Rename:BEDY;RelTo:sampleID_NoParent;RelTo:sampleID_WithParent;
TPTNUM_BE	BE	Rename:BETPTNUM;RelTo:sampleID_NoParent;
TPT_BE	BE	Rename:BETPT;RelTo:sampleID_NoParent;
ELTM_BE	BE	Rename:BEELTM;RelTo:sampleID_NoParent;
TPTREF_BE	BE	Rename:BETPTREF;RelTo:sampleID_NoParent;
ARMCD	DM	
ARM	DM	
ACTARMCD	DM	
ACTARM	DM	
MHSEV	MH	RelTo:condition_1;
Mayo	CC	Rename:CCORRES;Insert:CCTESTCD,Val=MAYO;Insert:CCTEST,Val=Mayo Score;Insert:CCCAT,Val=MAYO SCORE;Insert:CCSTRESC,Val=6-12;Insert:CCDY,Val=1;
CMTRT_sampling	CM	Rename:CMTRT;Insert:CMOCCUR,Val=Y;Insert:CMDY,Val=1;
CMTRT_foll	CM	Rename:CMTRT;Insert:CMOCCUR,Val=Y;
CMDOSE_foll	CM	Rename:CMDOSE;RelTo:CMTRT_foll;
CMDOSU_foll	CM	Rename:CMDOSU;RelTo:CMTRT_foll;
CMDY_foll	CM	Rename:CMDY;RelTo:CMTRT_foll;RelTo:CMTRT_declined;
samplingTherapiesResponse_1	RS	Rename:RSORRES;Insert:RSTESTCD,Val=ITHERRES;Insert:RSTEST,Val=Initial Therapy Response;
samplingTherapiesResponse_STRESC	RS	Rename:RSSTRESC;RelTo:samplingTherapiesResponse_1;
follTherResponse_1	RS	Rename:RSORRES;Insert:RSTESTCD,Val=FTHERRES;Insert:RSTEST,Val=Follow-Up Therapy Response;
follTherResponse_STRESC	RS	Rename:RSSTRESC;RelTo:follTherResponse_1;
RSMETHOD	RS	Insert:RSTPTNUM,Val=3;Insert:RSTPT,Val=4-6 WEEKS;Insert:RSELTM,Val=P4W/P6W;Insert:RSTPTREF,Val=FIRST INFLIXIMAB INFUSION;RelTo:samplingTherapiesResponse_1;
RSMETHOD1	SUPPRS	Rename:QVAL;Insert:RDOMAIN,Val=RS;Insert:IDVAR,Val=RSSEQ;Insert:QNAM,Val=RSMETH1;Insert:QLABEL,Val=Method of Test or Examination 1;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:samplingTherapiesResponse_1;
RSMETHOD2	SUPPRS	Rename:QVAL;Insert:RDOMAIN,Val=RS;Insert:IDVAR,Val=RSSEQ;Insert:QNAM,Val=RSMETH2;Insert:QLABEL,Val=Method of Test or Examination 2;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:samplingTherapiesResponse_1;
RSMETHOD3	SUPPRS	Rename:QVAL;Insert:RDOMAIN,Val=RS;Insert:IDVAR,Val=RSSEQ;Insert:QNAM,Val=RSMETH3;Insert:QLABEL,Val=Method of Test or Examination 3;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:samplingTherapiesResponse_1;
RSMETHOD1_GSE21231	SUPPRS	Rename:QVAL;Insert:RDOMAIN,Val=RS;Insert:IDVAR,Val=RSSEQ;Insert:QNAM,Val=RSMETH1;Insert:QLABEL,Val=Method of Test or Examination 1;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:samplingTherapiesResponse_1;
RSMETHOD2_GSE21231	SUPPRS	Rename:QVAL;Insert:RDOMAIN,Val=RS;Insert:IDVAR,Val=RSSEQ;Insert:QNAM,Val=RSMETH2;Insert:QLABEL,Val=Method of Test or Examination 2;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:samplingTherapiesResponse_1;
CMROUTE_sampling	CM	Rename:CMROUTE;RelTo:CMTRT_sampling;
CMROUTE_foll	CM	Rename:CMROUTE;RelTo:CMTRT_foll;
CMDOSFRM_foll	CM	Rename:CMDOSFRM;RelTo:CMTRT_foll;
HOOCCUR	HO	Insert:HOTERM,Val=HOSPITAL;
HODY	HO	RelTo:HOOCCUR;
SUPPHO_QVAL	SUPPHO	Rename:QVAL;Insert:RDOMAIN,Val=HO;Insert:IDVAR,Val=HOSEQ;Insert:QNAM,Val=HOINDC;Insert:QLABEL,Val=Indication;Insert:QORIG,Val=DERIVED;RelTo:HOOCCUR;
EXTRT	EX	
EXOCCUR	EX	RelTo:EXTRT;
EXDOSE	EX	RelTo:EXTRT;
EXDOSU	EX	RelTo:EXTRT;
EXDOSFRQ	EX	RelTo:EXTRT;
EXROUTE	EX	RelTo:EXTRT;
EXTPTNUM	EX	RelTo:EXTRT;
EXTPT	EX	RelTo:EXTRT;
EXELTM	EX	RelTo:EXTRT;
EXTPTREF	EX	RelTo:EXTRT;
EXDY	EX	RelTo:EXTRT;
sampleID_NoParent	BE	Rename:BEREFID;Insert:BETERM,Val=Collected;Insert:BEDECOD,Val=COLLECTED;Insert:BECAT,Val=COLLECTION;
sampledTissue_NoParent	SUPPBE	Rename:QVAL;Insert:RDOMAIN,Val=BE;Insert:IDVAR,Val=BESEQ;Insert:QNAM,Val=BESPEC;Insert:QLABEL,Val=Specimen Type;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:sampleID_NoParent;
sampleID_WithParent	BE	Rename:BEREFID;Insert:BETERM,Val=Extracted;Insert:BEDECOD,Val=EXTRACTED;Insert:BECAT,Val=EXTRACTION;
sampledTissue_WithParent	SUPPBE	Rename:QVAL;Insert:RDOMAIN,Val=BE;Insert:IDVAR,Val=BESEQ;Insert:QNAM,Val=BESPEC;Insert:QLABEL,Val=Specimen Type;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:sampleID_WithParent;
ParentSampleID	BE	Rename:BEREFID;Insert:BETERM,Val=Collected;Insert:BEDECOD,Val=COLLECTED;Insert:BECAT,Val=COLLECTION;
ParentTissue	SUPPBE	Rename:QVAL;Insert:RDOMAIN,Val=BE;Insert:IDVAR,Val=BESEQ;Insert:QNAM,Val=BESPEC;Insert:QLABEL,Val=Specimen Type;Insert:QORIG,Val=PUBLIC SOURCE;RelTo:ParentSampleID;
